classifier,condition,accuracy,precision,recall,f1
SVM,original,0.9553072625698324,0.9593702386998476,0.9553072625698324,0.9551795690343176
SGD,original,0.9832402234636871,0.9838459985192165,0.9832402234636871,0.9832322631502719
RandomForest,original,0.994413407821229,0.9944823780950411,0.994413407821229,0.9944129657915436
NaiveBayes,original,0.9553072625698324,0.9593702386998476,0.9553072625698324,0.9551795690343176
SVM,gaussian_noise,0.9888143176733781,0.9890884765539325,0.9888143176733781,0.9888121880542823
SGD,gaussian_noise,0.9966442953020134,0.9966694003246916,0.9966442953020134,0.9966442154563723
RandomForest,gaussian_noise,1.0,1.0,1.0,1.0
NaiveBayes,gaussian_noise,0.9776286353467561,0.9784949623456336,0.9776286353467561,0.9776158524402632
SVM,jpeg_compression,0.9888143176733781,0.9890884765539325,0.9888143176733781,0.9888121880542823
SGD,jpeg_compression,0.9966442953020134,0.9966694003246916,0.9966442953020134,0.9966442154563723
RandomForest,jpeg_compression,0.9988814317673378,0.9988842351964923,0.9988814317673378,0.9988814264444301
NaiveBayes,jpeg_compression,0.9753914988814317,0.9764559208049594,0.9753914988814317,0.9753743106821845
SVM,dpi_downsampling,0.5548098434004475,0.3327754579931139,0.5548098434004475,0.4066625307841257
SGD,dpi_downsampling,0.970917225950783,0.9724354416318066,0.970917225950783,0.9708884091777159
RandomForest,dpi_downsampling,0.9899328859060402,0.989977208793627,0.9899328859060402,0.9899177498424406
NaiveBayes,dpi_downsampling,0.5548098434004475,0.3327754579931139,0.5548098434004475,0.4066625307841257
SVM,random_cropping,0.9384787472035794,0.9385949953718703,0.9384787472035794,0.9384725985430211
SGD,random_cropping,0.6722595078299777,0.7322663045509122,0.6722595078299777,0.6422641890204689
RandomForest,random_cropping,0.5346756152125279,0.5639908722077789,0.5346756152125279,0.5107554813940868
NaiveBayes,random_cropping,0.5447427293064877,0.6969037562394709,0.5447427293064877,0.42130182197976124
SVM,bit_depth_reduction,0.9843400447427293,0.9848721791446754,0.9843400447427293,0.984334478349036
SGD,bit_depth_reduction,0.9966442953020134,0.9966694003246916,0.9966442953020134,0.9966442154563723
RandomForest,bit_depth_reduction,0.9977628635346756,0.9977740492170022,0.9977628635346756,0.9977628351455196
NaiveBayes,bit_depth_reduction,0.959731543624161,0.9630717842451985,0.959731543624161,0.9596439634191312
